◆◆◆　https://fy.188766.xyz/?ip=home.kuaidi521.com
◆◆◆　https://raw.githubusercontent.com/Guovin/iptv-api/gd/output/result.txt
2026-08-25 16:55:47,http://go.bkpcp.top/mg/cctv1
浙江休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/720p.m3u8
普陀电视,https://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
崇明电视,https://pili-live-hls.wdit.com.cn/wditlive/c038f4fafbdf4f97ba74c74ad67259b931ee.m3u8
营山电视,http://file.ysxtv.cn/cms/videos/nmip-media/channellive/channel4/playlist.m3u8
新乡县电视,http://tvpull.dxhmt.cn:9081/tv/10721-1.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
通海电视,https://zb-live.ynurl.com/tonghai/3bfe3a9e-48e6-4c1e-8770-1df66447cc6c.m3u8
◆◆◆　https://raw.githubusercontent.com/fleung49/star/refs/heads/main/mit
无线新闻,https://h5cdn3.kylintv.tv/live/tvbnews_iphone.m3u8
凤凰卫视中文,https://7612-5516-affc-d88b.kylintv.tv/live/pxinhd_iphone.m3u8
凤凰卫视美洲,https://7612-5516-affc-d88b.kylintv.tv/live/pxnaus_iphone.m3u8
凤凰卫视香港,https://7612-5516-affc-d88b.kylintv.tv/live/pxhkus_iphone.m3u8
北美焦点新闻,https://7612-5516-affc-d88b.kylintv.tv/live/qljdhd_iphone.m3u8
北美美食播客,https://0832-1dbe-95df-5158.kylintv.tv/live/bmmssp_iphone.m3u8
北美生活视频,https://0832-1dbe-95df-5158.kylintv.tv/live/bmshsp_iphone.m3u8
TVBS,https://7612-5516-affc-d88b.kylintv.tv/live/tvbshd_iphone.m3u8
东森综合2,https://h5cdn3.kylintv.tv/live/ebcvtv_iphone.m3u8
华视,https://7612-5516-affc-d88b.kylintv.tv/live/ctshd_iphone.m3u8
大爱一,https://7612-5516-affc-d88b.kylintv.tv/live/daai_iphone.m3u8
好消息2,https://7612-5516-affc-d88b.kylintv.tv/live/gdtv2_iphone.m3u8
海峡卫视,https://7612-5516-affc-d88b.kylintv.tv/live/fjstv_iphone.m3u8
澜湄国际,https://0832-1dbe-95df-5158.kylintv.tv/live/yntv_iphone.m3u8
昆仑剧场,https://7612-5516-affc-d88b.kylintv.tv/live/kunlunhd_iphone.m3u8
长江剧场,https://7612-5516-affc-d88b.kylintv.tv/live/yangtse_iphone.m3u8
叶丽仪45年香港情演唱会,https://h5vod.kylintv.tv/vod/vol26/hd/20150901/hdyly45nxgq0qt/hdyly45nxgq0qt.mp4/hdyly45nxgq0qt_1_1600_ipad.mp4.m3u8
辛晓琪人生若只如初见演唱会,https://h5vod.kylintv.tv/vod/vol28/hd/20201001/hdxxqrsych0qt/hdxxqrsych0qt.mp4
1314容祖儿演唱会,https://h5vod.kylintv.tv/vod/vol25/hd/20141115/hd1314rzeych0qt/hd1314rzeych0qt.mp4/hd1314rzeych0qt_1_2500_ipad.mp4.m3u8
张学友醒着做梦音乐会,https://h5vod.kylintv.tv/vod/vol27/hd/20190201/hdzxyxzzm0qt/hdzxyxzzm0qt.mp4/hdzxyxzzm0qt_1_2500_ipad.mp4.m3u8
CGTN,video://http://wcetv.com/videos/view/liv/1
CGTN DOCUMENTARY,video://http://wcetv.com/videos/view/liv/2
广东国际美洲,video://http://wcetv.com/videos/view/liv/3
CGTN-E,video://http://wcetv.com/videos/view/liv/4
CGTN-F,video://http://wcetv.com/videos/view/liv/5
客家电视,video://http://wcetv.com/videos/view/liv/7
原住民电视,video://http://wcetv.com/videos/view/liv/8
凤凰美洲,video://https://m.italkbbtv.com/live/62cc96a74725b5305843c0d5
翡翠综合台 TVBJ1,video://https://tvbanywherena.com/cantonese/live/tvb-j1
CGTN,video://https://m.italkbbtv.com/live/6a17e7aabcd127197503045d
CGTN DOCUMENTARY,video://https://m.italkbbtv.com/live/6a17e7af3368ef058c28b47a
长城精品,video://https://m.italkbbtv.com/live/62cbb0944725b530583c1b04
中国电影北美,video://https://m.italkbbtv.com/live/6a27b9babcd12719750308fd
海峡卫视,video://https://m.italkbbtv.com/live/6a30f74820a80832dc74e2c7
深圳国际,video://https://m.italkbbtv.com/live/6a3a378a20a80832dc74e4c0
北京国际,video://https://m.italkbbtv.com/live/6a27b9b63368ef058c28b881
东方国际,video://https://m.italkbbtv.com/live/6a27b9be820a5849076b0499
东森美洲电视,video://https://m.italkbbtv.com/live/62cc95e04725b5305843ba86
东森超视美洲,video://https://m.italkbbtv.com/live/62cc959b4725b5305843b838
东森美洲中国,video://https://m.italkbbtv.com/live/62cc93a14725b5305843a8f1
中旺电视,video://https://m.italkbbtv.com/live/62cc979c4725b5305843c853
加拿大600新闻,video://https://m.italkbbtv.com/live/62cb9bbc4725b530583b6b0e
